OBJECTID,ID_OFFRE,TYPE_OFFRE,CODE,NOM,RUE,NUMERO,CODE_POSTA,COMMUNE,PHONE1,MAIL,SITE_WEB,FACEBOOK,X,Y,LON,LAT,ORGANISME,DATE_MODIF
11164,261.0,Restauration,RST-07-000CY3,Attrape Loup,Rue de Rocroi,102,6464,Chimay,+3260211147,info@attrapeloup.be,http://www.attrapeloup.be,https://www.facebook.com/LattrapeLoup/,150264.0,78286.0,4.37243,50.01588,Pays des Lacs,20190710000000
11308,261.0,Restauration,RST-07-00OM-00MU,"Traiteur ""Gourman'Dim""",Trieu Bouton,53,6464,Chimay,+3260211322,info@goumandim.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,150655.0,78701.0,4.37788,50.01961,Pays des Lacs,20190515000000
11224,261.0,Restauration,RST-07-000CZ0,Auberge de Poteaupré,Rue de Poteaupré,5,6464,Chimay,+3260211433,poteaupre@chimaygestion.be,http://www.chimay.com,https://www.facebook.com/Auberge-de-Poteaupr%C3%A9-Chimay-72050817911,148011.0,79323.0,4.34098,50.0252,Pays des Lacs,20201105000000
1982,2.0,Gîte,GIT-01-04B9-0005,Gîte de la Bruyère II,Rue Bruyere,45,6464,Chimay,+3260214617,gitelabruyere@skynet.be,http://www.gitelabruyere.net,https://www.facebook.com/interrogationfleron,152144.0,79384.0,4.39866,50.02575,Pays des Lacs,20201013000000
11227,261.0,Restauration,RST-07-000CZ1,La Ferme des 4 Saisons,Rue de Scourmont,8,6464,Chimay,+3260214246,admin@f4saisons.be,http://www.ferme4saisons.be,https://www.facebook.com/La-Ferme-des-4-Saisons-1791295941100486,148012.0,79545.0,4.341,50.0272,Pays des Lacs,20200907000000
1216,2.0,Gîte,GIT-01-00001A,Gîte de La Bruyère I,rue Bruyères,45,6464,Chimay,+3260214617,gitelabruyere@skynet.be,http://www.gitelabruyere.net,https://www.facebook.com/interrogationfleron,152415.0,79691.0,4.40245,50.02851,Pays des Lacs,20201013000000
11283,261.0,Restauration,RST-07-000D4D,No Limit,Rue de Boutonville,9,6464,Chimay,+3260456964,nastylongan@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,151520.0,81136.0,4.38996,50.0415,Pays des Lacs,20180704000000
1974,2.0,Gîte,GIT-01-045C-005R,Aux Peupliers,Rue Neuf-Maisons,8,6462,Chimay,,auxpeupliers@outlook.com,http://www.auxpeupliers.be,https://www.facebook.com/Aux-peupliers-1656613521275431,149540.0,82357.0,4.36232,50.05248,Pays des Lacs,20210202000000
10003,11.0,Découverte et Divertissement,LOD-A0-002S-0EZG,Brasserie Escaillonne,Rue Jean Colas,72/1,6464,Chimay,+3260240473,brasserieescaillonne@gmail.com,https://www.brasserieescaillonne.be,https://www.facebook.com/interrogationfleron,154690.0,70775.0,4.43408,49.94833,Pays des Lacs,20200507000000
4859,11.0,Découverte et Divertissement,ALD-07-000D36,Musée du Grand Méchant Loup,Rue Frontière,68,6464,Chimay,+3260399939,nicolepelegrin@hotmail.com,http://walloniebelgiquetourisme.be/fr-be/produit/attractions/activites/musee-du-grand-mechant-loup/32265,https://www.facebook.com/riezestoys,149821.0,71637.0,4.36625,49.9561,Pays des Lacs,20201012000000
681,2.0,Gîte,GIT-07-000D3S,Le Relais de Nimelette,Rue de Nimelette,119,6464,Chimay,+3260212172,jean.salmon@skynet.be,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,150531.0,72164.0,4.37614,49.96084,Pays des Lacs,20201012000000
4903,11.0,Découverte et Divertissement,ALD-07-00PE-00DA,Abbaye de Scourmont,Rue du Rond-Point,294,6464,Chimay,+3260210511,thomasdundee2@gmail.com,http://www.scourmont.be,https://www.facebook.com/interrogationfleron,147752.0,74636.0,4.33739,49.98306,Pays des Lacs,20200727000000
675,2.0,Gîte,GIT-07-000D3P,La Ferme des 4 Saisons,Rue de Scourmont,8,6464,Chimay,+3260214246,admin@f4saisons.be,http://www.gitedes4saisons.be,https://www.facebook.com/La-Ferme-des-4-Saisons-1791295941100486,148560.0,74726.0,4.34866,49.98387,Pays des Lacs,20210122000000
1604,2.0,Gîte,HBG-A0-0034-06UX,Le Maffe de Scourmont,Rue Scourmont,9,6464,Chimay,+3260211236,christianehannecart@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,148910.0,74836.0,4.35354,49.98486,Pays des Lacs,20210202000000
