directory_category,entity_featured__value,post_content,location_address__street,location_address__street2,location_address__city,location_address__country,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,location_address__province,location_address__timezone,directory_photos,voting_rating,directory_tag,post_title,voting_updown,field_opening_hours,field_phone,field_price_range,field_social_accounts__facebook,field_social_accounts__instagram,field_social_accounts__linkedin,field_social_accounts__twitter,field_social_accounts__youtube,field_videos,field_website
commerce,,"Description à venir","Rue des Ormeaux",,CHIMAY,BE,"Rue des Ormeaux, 6460 CHIMAY",50.047676,chimay,4.316089,6460,Wallonie,Europe/Brussels,,,,"A Fleur De Peau",,,"060/21 27 07",,https://www.facebook.com/afleurdepeau.chimay/,,,,,,
jardins-et-fleurs,,"Description à venir","Rue de Virelles, 32",,CHIMAY,BE,"Rue de Virelles, 32, 6460 CHIMAY",50.050329,chimay,4.326322,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007a-lair-libre.jpg,,,"A L'Air Libre",,,"060/21 90 47",,https://www.facebook.com/alairlibre,,,,,,
commerce,,"Description à venir","Chaussée de Couvin 95C 5",,CHIMAY,BE,"Chaussée de Couvin 95C 5, 6460 CHIMAY",50.044725,chimay,4.331689,6460,Wallonie,Europe/Brussels,,,,Action,,,,,,,,,,,
supermarche,,"Description à venir","Rue de Bourlers, 1a",,CHIMAY,BE,"Rue de Bourlers, 1a, 6460 CHIMAY",50.047945,chimay,4.321365,6460,Wallonie,Europe/Brussels,,,,"Ad Delhaize",,,"060/21 23 90",,,,,,,,
,,"Description à venir","Rue des Sartiaux 1",,CHIMAY,BE,"Rue des Sartiaux 1, 6460 CHIMAY",50.047271,chimay,4.319074,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007adn-concept.jpg,,,"Adn Concept",,,"060/41 12 81",,,,,,,,
optique,,"Description à venir","Chée de Couvin, 95",,CHIMAY,BE,"Chée de Couvin, 95, 6460 CHIMAY",50.044725,chimay,4.331689,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007afflelou.jpg,,,Afflelou,,,"060/21 93 40",,https://www.facebook.com/alainafflelouchimay,,,,,,
immobilier,,"Description à venir","Place des Princes 3",,CHIMAY,BE,"Place des Princes 3, 6460 CHIMAY",50.048713,chimay,4.320224,6460,Wallonie,Europe/Brussels,,,,"Agence Atipi",,,"060/31 18 89",,,,,,,,
supermarche,,"Description à venir","Ch. de Couvin",,CHIMAY,BE,"Ch. de Couvin, 6460 CHIMAY",50.044804,chimay,4.330861,6460,Wallonie,Europe/Brussels,,,,Aldi,,,,,,,,,,,
commerce,,"Description à venir","Grand Place,31",,CHIMAY,BE,"Grand Place,31, 6460 CHIMAY",50.049069,chimay,4.315669,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007anastasia.jpg,,,Anastasia,,,"060/21 20 82",,https://www.facebook.com/anastasiabijouterie/,,,,,,http://bijouterie-anastasia.be/
coiffure,,"Description à venir","Place Chapitre, 5b",,CHIMAY,BE,"Place Chapître, 5b, 6460 CHIMAY",50.049597,chimay,4.316536,6460,Wallonie,Europe/Brussels,appolinhair-scaled.jpg,,,Appolin'Hair,,,"060/21 21 40",0|100,https://www.facebook.com/apollinhair/,,,,,,
loisirs,,"Description à venir","rue du lac 42",,Virelles,BE,"rue du lac 42 , 6461 Virelles",50.067025,virelles,4.33907,6461,Wallonie,Europe/Brussels,242406_AquascopeVirelles_cWBT-BrunoD_Alimonte.jpg,,,"Aquascope Virelles",,,060/211363,0|100,https://www.facebook.com/Aquascope-Virelles-1308494265927976,,,,,,https://www.aquascope.be
textile,,"Description à venir","Grand place 22",,Chimay,BE,"Grand place 22, 6460 Chimay",50.049308,chimay,4.316318,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007atelier-ac.jpg,,,"Atelier Ac",,,"0485 07 12 50",,https://www.facebook.com/AtelierAC,,,,,,https://atelierac.be/
,,"Description à venir","Avenue des Tilleuls",,CHIMAY,BE,"Avenue des Tilleuls, 6460 CHIMAY",50.045709,chimay,4.306572,6460,Wallonie,Europe/Brussels,,,,"Ateliers Coene-Marcoux",,,"060/21 29 85",,,,,,,,
hebergement,,"Description à venir","Rue Gare de Seloignes 178",,VILLERS-LA-TOUR,BE,"Rue Gare de Seloignes 178, 6460 VILLERS-LA-TOUR",50.014391,villers-la-tour,4.28894,6460,Wallonie,Europe/Brussels,,,,"Au Coin Du Bois",,,"060/51 25 08",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Place du Prince",,CHIMAY,BE,"Place du Prince, 6460 CHIMAY",50.048492,chimay,4.319744,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007au-paradis-des-saveurs.jpg,,,"Au Paradis Des Saveurs",,,060/411360,,https://www.facebook.com/Justinewackersboulangeriechimay,,,,,,http://www.leparadisdessaveurs.be/
commerce,,"Description à venir","Grand Place, 33",,CHIMAY,BE,"Grand Place, 33, 6460 CHIMAY",50.048967,chimay,4.315641,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007au-parfum-des-sens.jpg,,,"Au Parfum Des Sens",,,"060/21 26 66",,https://www.facebook.com/Au-parfum-des-sens-1505843646381355,,,,,,http://www.parfumdessens.be/
commerce,,"Description à venir","Rue du Rond Point 291",,forges,BE,"Rue du Rond Point 291, 6464 forges",49.99371,forges,4.314161,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007au-petit-coin-des-saveurs.jpg,,,"Au Petit Coin Des Saveurs",,,0472/233408,0|100,https://www.facebook.com/merciermari,,,,,,
commerce-alimentaire,,"Description à venir","Chéé de Mons, 16",,CHIMAY,BE,"Chéé de Mons, 16, 6460 CHIMAY",50.051611,chimay,4.309381,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007au-petit-marche.jpg,,,"Au Petit Marché",,09:00|12:00|1|;14:00|18:00|1|;09:00|12:00|2|;14:00|18:00|2|;09:00|12:00|3|;14:00|18:00|3|;09:00|12:00|4|;14:00|18:00|4|;08:30|18:00|5|;09:00|18:00|6|,"060/21 26 75",0|100,https://www.facebook.com/petitmarche1978/,,,,,,
hebergement,,"Description à venir","Poteaupré, 5",,BOURLERS,BE,"Poteaupré, 5, 6464 BOURLERS",49.988679,bourlers,4.342108,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007auberge-de-poteaupre.jpg,,,"Auberge De Poteaupre",,,"060/21 14 33",,,,,,,,
restaurant-cafe-snack,,"Description à venir","Poteaupré, 5",,BOURLERS,BE,"Poteaupré, 5, 6464 BOURLERS",49.988679,bourlers,4.342108,6464,Wallonie,Europe/Brussels,,,,"Auberge De Poteaupre",,,"060/21 14 33",,https://www.facebook.com/poteaupre6464,,,,,,
hebergement,,"Description à venir","Rue Neuf Maisons 8",,VAULX,BE,"Rue Neuf Maisons 8, 6462 VAULX",50.05225,vaulx,4.36322,6462,Wallonie,Europe/Brussels,,,,"Aux Peupliers",,,"0477/71 21 57",,,,,,,,
jardins-et-fleurs,,"Description à venir","Zoning Industriel 4",,BAILEUX,BE,"Zoning Industriel 4, 6464 BAILEUX",50.036027,baileux,4.37948,6464,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007aveve.jpg,,,Aveve,,,"060 21 27 97",,https://www.facebook.com/avevebaileux/,,,,,,
banque-et-assurance,,"Description à venir","Rue de Bourlers 68",,CHIMAY,BE,"Rue de Bourlers 68, 6460 CHIMAY",50.042419,chimay,4.327304,6460,Wallonie,Europe/Brussels,,,,"Axa Banque",,,"060/21 51 25",,,,,,,,
commerce-alimentaire,,"Description à venir","Grande-Rue, 16",,CHIMAY,BE,"Grande-Rue, 16, 6460 CHIMAY",50.048746,chimay,4.314245,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007bambino.jpg,,,Bambino,,,"060/21 37 20",,,,,,,,
banque-et-assurance,,"Description à venir","Grand-Place, 29",,CHIMAY,BE,"Grand-Place, 29, 6460 CHIMAY",50.049059,chimay,4.315774,6460,Wallonie,Europe/Brussels,,,,Belfius,,,"060/21 02 30",,,,,,,,
esthetique,,"Description à venir","Rue de Bourlers",,Chimay,BE,"Rue de Bourlers, 6460 Chimay",50.044922,chimay,4.324244,6460,Wallonie,Europe/Brussels,DSC_1302.jpg,,,"Bella  Sante",,,060/212134,0|100,https://www.facebook.com/Bellasantechimay2011,,,,,,https://www.bella-sante.be
bancontact;banque-et-assurance,,"Description à venir","Chaussée de Couvin 1",,Chimay,BE,"Chaussée de Couvin 1, 6460 Chimay, Belgique",50.047389,chimay,4.319534,6460,Wallonie,Europe/Brussels,beobank.jpg,,,Beobank,,,"060/21 30 61",0|100,,,,,,,
coiffure,,"Description à venir","Rue de la Scierie 8",,VIRELLES,BE,"Rue de la Scierie 8, 6461 VIRELLES",50.064804,virelles,4.344965,6461,Wallonie,Europe/Brussels,,,,"Bertrand M-H",,,"060/21 32 21",0|100,,,,,,,
commerce,,"Description à venir","Grand-place,2",,CHIMAY,BE,"Grand-place,2, 6460 CHIMAY",50.048922,chimay,4.31468,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007bijouterie-benoit.jpg,,,"Bijouterie Benoit",,,"060/21 13 35",,,,,,,,
services,,"<img class=""alignnone size-full wp-image-3609"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/bothanet.jpg"" alt="""" width=""8256"" height=""5504"" />Description à venir","Rue du Pavillon 12",,CHIMAY,BE,"Rue du Pavillon 12, 6460 CHIMAY",50.048309,chimay,4.318833,6460,Wallonie,Europe/Brussels,bothanet.jpg,,,Bothanet,,,"060/51 29 02",0|100,,,,,,,
commerce-alimentaire,,"Description à venir","Rue de Virelles 43",,CHIMAY,BE,"Rue de Virelles 43, 6460 CHIMAY",50.049675,chimay,4.320747,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007boucherie-baire.jpg,,,"Boucherie Baire",,,"060/21 36 13",,,,,,,,https://boucheriebaire.be
commerce-alimentaire,,"Description à venir","Rue du Lac 18",,VIRELLES,BE,"Rue du Lac 18, 6461 VIRELLES",50.066121,virelles,4.336,6461,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007boucherie-du-lac.jpg,,,"Boucherie Du Lac",,,"060/21 53 25 ",,,,,,,,
commerce-alimentaire,,"Description à venir","Rue de Noailles 5",,CHIMAY,BE,"Rue de Noailles 5, 6460 CHIMAY",50.047943,chimay,4.318408,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007boucherie-lange.jpg,,,"Boucherie Lange",,,"060/51 46 78",,https://www.facebook.com/boucherielange,,,,,,
commerce-alimentaire,,"Description à venir","Rue Saint-Nicolas, 17",,CHIMAY,BE,"Rue Saint-Nicolas, 17, 6460 CHIMAY",50.048339,chimay,4.313448,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007boucherie-nicolas.jpg,,,"Boucherie Nicolas",,,0499/818633,,https://www.facebook.com/Boucherie-Nicolas-103489001148776,,,,,,
commerce-alimentaire,,"Description à venir","Rue des Déportés, 19",,CHIMAY,BE,"Rue des Déportés, 19, 6460 CHIMAY",50.048419,chimay,4.309176,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007boulangerie-brousmiche.jpg,,,Boulangerie,,,"060/21 92 90",,https://www.facebook.com/Boulangerie-Olivier-Brousmiche-311726619463224,,,,,,
commerce-alimentaire,,"Description à venir","Rue du Lac, 1",,VIRELLES,BE,"Rue du Lac, 1, 6461 VIRELLES",50.065198,virelles,4.334258,6461,Wallonie,Europe/Brussels,,,,"Boulangerie Chauvaux",,,"060/21 32 32",,,,,,,,
commerce,,"Accueil du Château des Princes et visites

Boutique de souvenirs","Rue du Château 14",,CHIMAY,BE,"Rue du Château 14, 6460 CHIMAY",50.049007,chimay,4.314408,6460,Wallonie,Europe/Brussels,accueilchateau-1.jpg,,,"Boutique Du Château De Chimay",,,060/21.45.31,0|100,,,,,,,
moto-welcomed;restaurant-cafe-snack,,"Description à venir","Place des Ormeaux 27",,CHIMAY,BE,"Place des Ormeaux 27, 6460 CHIMAY",50.047791,chimay,4.316723,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007brasserie-du-casino.jpg,,,"Brasserie Du Casino",,,"060/21 49 83",,https://www.facebook.com/BrasserieDuCasinoChimay,,,,,,
textile,,"Description à venir","Rue Fernand Tilquin 18",,LOMPRET,BE,"Rue Fernand Tilquin 18, 6463 LOMPRET",50.062087,lompret,4.378601,6463,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007c-vraiment-toi.jpg,,,"C Vraiment Toi",,,"060/21 44 84",,https://www.facebook.com/C-vraiment-toi-1391029524493730,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue de Chimay 7",,VIRELLES,BE,"Rue de Chimay 7, 6461 VIRELLES",50.064806,virelles,4.333829,6461,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007cafe-des-touristes.jpg,,,"Cafe Des Touristes",,,"060/51 31 43",,https://www.facebook.com/cafedestouristes.chimay/,,,,,,
hebergement,,"Description à venir","Allée du Prince, 6460 Chimay",,Chimay,BE,"Camping communal de Chimay, Allée du Prince, 6460 Chimay, Belgique",50.045781,chimay,4.309699,6460,Wallonie,Europe/Brussels,,,,"Camping Communal",,,,0|100,,,,,,,
hebergement,,"Description à venir","Rue de Bailièvre 1, 6460 Robechies",,Robechies,BE,"Rue de Bailièvre 1, 6460 Robechies, Belgique",50.071247,robechies,4.259203,6460,Wallonie,Europe/Brussels,,,,"Camping Et Pecherie Mon Reve",,,,0|100,,,,,,,
hebergement,,"Description à venir","Rue du Rond-Point 283, 6464 Forges",,Forges,BE,"Rue du Rond-Point 283, 6464 Forges, Belgique",49.993696,forges,4.314266,6464,Wallonie,Europe/Brussels,,,,"Camping La Camargue",,,,0|100,,,,,,,
restaurant-cafe-snack,,"Description à venir","Rue du Lac 42",,VIRELLES,BE,"Rue du Lac 42, 6461 VIRELLES",50.067025,virelles,4.33907,6461,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007cantine-de-laquascope.jpg,,,"Cantine De L'Aquascope",,,"060/21 13 27",,https://www.facebook.com/Pimprenelle77,,,,,,
soins-de-sante,,"Description à venir","Rue  de Virelles 1",,Chimay,BE,"Rue  de Virelles 1, 6460 Chimay",50.049454,chimay,4.317637,6460,Wallonie,Europe/Brussels,,,,"Cawet Orthopedie",,,0476/906709,,https://www.facebook.com/Cawet-Orthopedie-scs-397788756924274/?ref=page_internal&path=%2FCawet-Orthopedie-scs-397788756924274%2F,,,,,,
bancontact;banque-et-assurance,,"Description à venir","Rue de Virelles, 3",,CHIMAY,BE,"Rue de Virelles, 3, 6460 CHIMAY",50.049416,chimay,4.317637,6460,Wallonie,Europe/Brussels,cbc.png,,,"Cbc Bank",,,"060/21 24 88",0|100,,,,,,,
immobilier,,"Description à venir","Rue Bouchère 21 ",,CHIMAY,BE,"Rue Bouchère 21 , 6460 CHIMAY",50.049784,chimay,4.309263,6460,Wallonie,Europe/Brussels,,,,"Century 21",,,"060/21 35 86",,,,,,,,
animation-musicale;attraction;contes-et-legendes;culture;devises-et-inscriptions;fantomes;tournages;loisirs;patrimoine-historique;point-de-vue;vestiges-medievaux,,,"Rue du chateau 14",,Chimay,BE,"Rue du Château 27, 6460 Chimay, Belgique",50.049007,chimay,4.314408,6460,"Waals Gewest",Europe/Brussels,accueilchateau.jpg,,acces-pmr,"Chateau De Chimay",,,060/214531,0|100,https://www.facebook.com/chateaudechimay,,,,,,https://www.chateaudechimay.be
commerce-alimentaire,,"Description à venir","Ferme Brûlée,100",,RIEZES,BE,"Ferme Brûlée,100, 6464 RIEZES",49.97011,riezes,4.3262,6464,Wallonie,Europe/Brussels,,,,"Chevret Chimacien",,,"060/21 47 53",,,,,,,,
commerce,,"Description à venir","Place Froissart, 26",,CHIMAY,BE,"Place Froissart, 26, 6460 CHIMAY",50.047535,chimay,4.31384,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007chimay-cordo.jpg,,,"Chimay Cordo",,,"060/21 36 38 ou 0475/54 09 76",,https://www.facebook.com/serruriechimay,,,,,,
loisirs,,,"Grand Place",,Chimay,BE,"Grand'Place 1415, 6460 Chimay, Belgique",50.048958,chimay,4.315111,6460,Wallonie,Europe/Brussels,DSC_1166-scaled.jpg,,,"Chimay Escape Room",,,0478463625,0|100,https://www.facebook.com/TresordelAbbaye,,,,,,https://www.chimayescaperoom.be
optique,,"Description à venir","Place Froissart, 18",,CHIMAY,BE,"Place Froissart, 18, 6460 CHIMAY",50.047197,chimay,4.313764,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007chimay-optique.jpg,,,"Chimay Optique",,,"060/21 29 68",,,,,,,,
auto-moto,,"Description à venir","Rue Trieu Godin, 44 ",,CHIMAY,BE,"Rue Trieu Godin, 44 , 6460 CHIMAY",50.047412,chimay,4.306035,6460,Wallonie,Europe/Brussels,,,,"Chimay Pneus Service",,,"060/21 94 00",,https://www.facebook.com/Denil-Moteurs-2189259927954607/,,,,,,
commerce;velo-bienvenue,,"Description à venir","Rue de Virelles,18a",,CHIMAY,BE,"Rue de Virelles,18a, 6460 CHIMAY",50.049104,chimay,4.320699,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007chimay-sports.jpg,,,"Chimay Sports",,,"060/21 33 39",,https://www.facebook.com/chimay.sport.3,,,,,,
auto-moto,,"Description à venir","Chée de Mons",,CHIMAY,BE,"Chée de Mons, 6460 CHIMAY",50.085017,chimay,4.293276,6460,Wallonie,Europe/Brussels,,,,Chim'Oto,,,"060/21 52 09 -",,,,,,,,
commerce;velo-bienvenue,,"Description à venir","Rue du Onze Novembre 3 boite 5",,CHIMAY,BE,"Rue du Onze Novembre 3 boite 5, 6460 CHIMAY",50.046816,chimay,4.310633,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007chris-cycles.jpg,,,"Chris Cycles",,,"0498 75 60 27",,https://www.facebook.com/chriscycleschimay/,,,,,,http://www.chriscycles.be/
restaurant-cafe-snack,,"Description à venir","Rue Rogier, 16",,CHIMAY,BE,"Rue Rogier, 16, 6460 CHIMAY",50.049254,chimay,4.316838,6460,Wallonie,Europe/Brussels,httpchimaycommerce.wpengine.comwp-contentuploads202007comme-chez-vero.jpg,,,"Comme Chez Vero",,,"060/21 43 77",,https://www.facebook.com/Commechezvero,,,,,,
auto-moto,,"Description à venir","Chée de Couvin, 96",,CHIMAY,BE,"Chée de Couvin, 96, 6460 CHIMAY",50.045348,chimay,4.327377,6460,Wallonie,Europe/Brussels,,,,"Comptoir Automobile S.A.",,,"060/21 13 92",,,,,,,,
textile,,"Description à venir","Rue de bailievre 69a",,Robechies,BE,"Rue de bailievre 69a, 6460 Robechies",50.071809,robechies,4.285178,6460,Wallonie,Europe/Brussels,,,,"Couleur Nature",,,478738893,,https://www.facebook.com/couleursnature4,,,,,,http://couleursnatureshop.be/
